Client,Total_Billed_2026,Months_Billed,Avg_Monthly_Billing,HD_Tickets,HD_Hours,ITMS_Tickets,ITMS_Hours,Bunzl_Tickets,Bunzl_Hours,Total_Tickets,Total_Hours
HiPoint AG Environmental,293.5,5.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Health Law Counsel, LLC",225.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HODOS WEALTH GROUP,98.6,5.0,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hite Consulting Inc ,558.3,5.0,111.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interactive Studio Management,2119.93,6.0,353.32166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Stevens LLC,192.44,5.0,38.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAR Audio,2660.4700000000003,5.0,532.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Hickory,464.8,5.0,92.96000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen R. Gardner Landscape Architect,126.5,5.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Mountain Geek,160.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Crowe Psychology,30.5,5.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crossroads Community Church,5616.3,6.0,936.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C-MAG Chimie Inc.,147.0,5.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Converged Networks Inc.,542.5,5.0,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burton Kelley,480.0,5.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camp Hanover,159.6,5.0,31.919999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encore Land Services,282.5,5.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E&S Insurance Services LLC,1834.0,5.0,366.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Financial Group,135.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FWI Custom Homes,227.2,5.0,45.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forvision Therapeutics,695.0,5.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G4 Athlete,697.5,5.0,139.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Chamber of Commerce,468.8,5.0,93.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Purcell CPA Inc.,400.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National ABA Service Quality Network,665.24,5.0,133.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan Samuels Company,1470.65,5.0,294.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mission Management Services, LLC",65.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MetroNational,547.8800000000001,4.0,136.97000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stryde Research,261.15,5.0,52.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
